"id","Strain 1","Strain 2","Strain 3"
11121905332,"Blue Dream","Mob Boss","Wedding Crasher"
11111801761,"Brownie Scout ","Walker Kush","French Toast "
10937584160,"Cw cbd hemp oil ","Smoking flower Indica","Thc shatter"
10633844023,"Gorilla glue","Bio diesel ","Sour diesel"
10630387074,"Banana Split","Inzane in the membrane","Bio Diesel"
10626429877,"Indica ","",""
10623964351,"Purple haze","Lemon ice","Weed whacked"
10621098231,"Pineapple Express ","Guava D","Bruce banner "
10617352263,"Tangie","Banana split ","Bruce banner #3"
10615607693,"Wedding cake ","Jilly bean ","Scott’s og"
10614765881,"Meltdown","Blue Cheese","'88 G-13 Hashplant"
10607912288,"Meltdown","VYB Float","Jack Herer"
10572726875,"Haze","Kush","Blueberry Cheese"
10550852127,"Night nurse","Doc holliday","Guava d"
10498671034,"Blue Dream","White Widow","Forbidden Fruit"
10464834197,"Blueberry","Hashplant","GSC"
10463520639,"Black Triangle Kush","GG4","Flo"
10444236346,"Bio diesel","Gorilla glue","Grape god"
10427038209,"Lemon Jeffery","Grateful Breath","Orange Krush"
10390735914,"Gorilla glue","Blue dream","Chem dog"
10389539123,"Lemon Jeffrey","Cheesecake ","Sour Diesel"
10361398461,"N/a","",""
10338548186,"Buddhas sister ","Tangi","Gg"
10313041082,"Any indica higher thc %","Sweet tooth","Gg4"
10312356549,"blue dream","",""
10308744405,"2:01","any indica","any hybrid"
10304447243,"GDP","3 Gorillas ","Moonrise "
10288934828,"Indica","Blueberry","anything Purple"
10280513706,"Meltdown ","Blueberry","Diesel Dough "
10263390124,"unknown","unknown","unkown"
10260585584,"Gdp","Meltdown","Black mumba"
10256517627,"Flo OG","",""
10256255317,"GOD FATHER OG","CHEMDAWG","ROYAL-BLUEMATIC"
10253887260,"blue dream","purple kush","kush dawg"
10249664681,"Sour Diesel","Green Crack","GG4"
10248394143,"Don’t know","",""
10247692900,"Glorilla Glue","Lemon Squeeze","Anytime cbd tinture"
10247538120,"Blue dreams","Skunk og kush","Bubba"
