"id","response"
11327669448,"Generally helps with quality of life"
11320679343,"Generally helps with quality of life"
11310196747,"Generally helps with quality of life"
11240366384,"Generally helps with quality of life"
11148895510,"Generally helps with quality of life"
11111801761,"Generally helps with quality of life"
11095988184,"Generally helps with quality of life"
11095751213,"Generally helps with quality of life"
10994127240,"Generally helps with quality of life"
10958082921,"Generally helps with quality of life"
10950506255,"Generally helps with quality of life"
10880665922,"Generally helps with quality of life"
10667060651,"Generally helps with quality of life"
10647197076,"Generally helps with quality of life"
10633844023,"Generally helps with quality of life"
10623964351,"Generally helps with quality of life"
10617352263,"Generally helps with quality of life"
10616732328,"Generally helps with quality of life"
10616607453,"Generally helps with quality of life"
10616000680,"Generally helps with quality of life"
10615607693,"Generally helps with quality of life"
10615543776,"Generally helps with quality of life"
10615475788,"Generally helps with quality of life"
10615382686,"Generally helps with quality of life"
10614765881,"Generally helps with quality of life"
10607912288,"Generally helps with quality of life"
10598611443,"Generally helps with quality of life"
10584635591,"Generally helps with quality of life"
10567408422,"Generally helps with quality of life"
10564977420,"Generally helps with quality of life"
10550852127,"Generally helps with quality of life"
10544586314,"Generally helps with quality of life"
10544524568,"Generally helps with quality of life"
10539029989,"Generally helps with quality of life"
10514133473,"Generally helps with quality of life"
10498671034,"Generally helps with quality of life"
10482114257,"Generally helps with quality of life"
10464834197,"Generally helps with quality of life"
10460681546,"Generally helps with quality of life"
10448976285,"Generally helps with quality of life"
10444236346,"Generally helps with quality of life"
10442910474,"Generally helps with quality of life"
10427038209,"Generally helps with quality of life"
10390735914,"Generally helps with quality of life"
10389539123,"Generally helps with quality of life"
10384460168,"Generally helps with quality of life"
10374356525,"Generally helps with quality of life"
10374354669,"Generally helps with quality of life"
10368261978,"Generally helps with quality of life"
10360477263,"Generally helps with quality of life"
10355975067,"Generally helps with quality of life"
10351985976,"Generally helps with quality of life"
10340127453,"Generally helps with quality of life"
10340116686,"Generally helps with quality of life"
10338548186,"Generally helps with quality of life"
10332101269,"Generally helps with quality of life"
10332089931,"Generally helps with quality of life"
10323152506,"Generally helps with quality of life"
10320895144,"Generally helps with quality of life"
10314764856,"Generally helps with quality of life"
10313637005,"Generally helps with quality of life"
10313041082,"Generally helps with quality of life"
10312356549,"Generally helps with quality of life"
10308943093,"Generally helps with quality of life"
10308744405,"Generally helps with quality of life"
10304447243,"Generally helps with quality of life"
10304363791,"Generally helps with quality of life"
10301544217,"Generally helps with quality of life"
10289128872,"Generally helps with quality of life"
10288934828,"Generally helps with quality of life"
10288684650,"Generally helps with quality of life"
10285851934,"Generally helps with quality of life"
10280889006,"Generally helps with quality of life"
10280619911,"Generally helps with quality of life"
10280513706,"Generally helps with quality of life"
10274419066,"Generally helps with quality of life"
10263390124,"Generally helps with quality of life"
10263250071,"Generally helps with quality of life"
10260573889,"Generally helps with quality of life"
10260504037,"Generally helps with quality of life"
10260087945,"Generally helps with quality of life"
10259196295,"Generally helps with quality of life"
10256752506,"Generally helps with quality of life"
10256517627,"Generally helps with quality of life"
10256255317,"Generally helps with quality of life"
10253887260,"Generally helps with quality of life"
10253880384,"Generally helps with quality of life"
10253635749,"Generally helps with quality of life"
10250278548,"Generally helps with quality of life"
10249664681,"Generally helps with quality of life"
10248976030,"Generally helps with quality of life"
10248394143,"Generally helps with quality of life"
10247895568,"Generally helps with quality of life"
10247119003,"Generally helps with quality of life"
10246614299,"Generally helps with quality of life"
10246287865,"Generally helps with quality of life"
10246062891,"Generally helps with quality of life"
10243813684,"Generally helps with quality of life"
10243585697,"Generally helps with quality of life"
10241027129,"Generally helps with quality of life"
10240742122,"Generally helps with quality of life"
10239109393,"Generally helps with quality of life"
10238111177,"Generally helps with quality of life"
10236223392,"Generally helps with quality of life"
10236014104,"Generally helps with quality of life"
10235888421,"Generally helps with quality of life"
10235861140,"Generally helps with quality of life"
10235638327,"Generally helps with quality of life"
10234227563,"Generally helps with quality of life"
10234107777,"Generally helps with quality of life"
10233946587,"Generally helps with quality of life"
10233901115,"Generally helps with quality of life"
10233663249,"Generally helps with quality of life"
10233619569,"Generally helps with quality of life"
10233370591,"Generally helps with quality of life"
10233274468,"Generally helps with quality of life"
10233153110,"Generally helps with quality of life"
10233142044,"Generally helps with quality of life"
10233094381,"Generally helps with quality of life"
10232773585,"Generally helps with quality of life"
10232619769,"Generally helps with quality of life"
10232561621,"Generally helps with quality of life"
10232503546,"Generally helps with quality of life"
10232360437,"Generally helps with quality of life"
10232232344,"Generally helps with quality of life"
10232035837,"Generally helps with quality of life"
10232009660,"Generally helps with quality of life"
