"id","response"
11121905332,"Medical value of cannabis"
10950506255,"Medical value of cannabis"
10677555646,"Medical value of cannabis"
10633844023,"Medical value of cannabis"
10627667913,"Medical value of cannabis"
10617990640,"Medical value of cannabis"
10617106666,"Medical value of cannabis"
10615475788,"Medical value of cannabis"
10598611443,"Medical value of cannabis"
10572726875,"Medical value of cannabis"
10571082808,"Medical value of cannabis"
10567487173,"Medical value of cannabis"
10514133473,"Medical value of cannabis"
10492240590,"Medical value of cannabis"
10468360710,"Medical value of cannabis"
10463520639,"Medical value of cannabis"
10416058133,"Medical value of cannabis"
10384460168,"Medical value of cannabis"
10353027281,"Medical value of cannabis"
10351985976,"Medical value of cannabis"
10312356549,"Medical value of cannabis"
10308744405,"Medical value of cannabis"
10304447243,"Medical value of cannabis"
10288934828,"Medical value of cannabis"
10285851934,"Medical value of cannabis"
10282696179,"Medical value of cannabis"
10281129055,"Medical value of cannabis"
10280889006,"Medical value of cannabis"
10278530046,"Medical value of cannabis"
10273619577,"Medical value of cannabis"
10264278489,"Medical value of cannabis"
10263513014,"Medical value of cannabis"
10260573889,"Medical value of cannabis"
10260504037,"Medical value of cannabis"
10253880384,"Medical value of cannabis"
10248976030,"Medical value of cannabis"
10248892019,"Medical value of cannabis"
10248414752,"Medical value of cannabis"
10247692900,"Medical value of cannabis"
10247119003,"Medical value of cannabis"
10246399634,"Medical value of cannabis"
10244871164,"Medical value of cannabis"
10239531679,"Medical value of cannabis"
10239175816,"Medical value of cannabis"
10236014104,"Medical value of cannabis"
10235746652,"Medical value of cannabis"
10234227563,"Medical value of cannabis"
10234127592,"Medical value of cannabis"
10234061188,"Medical value of cannabis"
10233946587,"Medical value of cannabis"
10233820864,"Medical value of cannabis"
10233663249,"Medical value of cannabis"
10233619569,"Medical value of cannabis"
10233274468,"Medical value of cannabis"
10233218847,"Medical value of cannabis"
10232619769,"Medical value of cannabis"
10231985248,"Medical value of cannabis"
10231842260,"Medical value of cannabis"
10231654493,"Medical value of cannabis"
10231640334,"Medical value of cannabis"
10231412715,"Medical value of cannabis"
10231390490,"Medical value of cannabis"
10231320543,"Medical value of cannabis"
10231285230,"Medical value of cannabis"
10231064575,"Medical value of cannabis"
10231064348,"Medical value of cannabis"
10230820147,"Medical value of cannabis"
10230729526,"Medical value of cannabis"
10230681725,"Medical value of cannabis"
10230596390,"Medical value of cannabis"
10230536550,"Medical value of cannabis"
10230410378,"Medical value of cannabis"
10230399786,"Medical value of cannabis"
10230353468,"Medical value of cannabis"
10230334342,"Medical value of cannabis"
10230318306,"Medical value of cannabis"
10230315461,"Medical value of cannabis"
10230283776,"Medical value of cannabis"
10230255552,"Medical value of cannabis"
10230246660,"Medical value of cannabis"
10230236662,"Medical value of cannabis"
10230235893,"Medical value of cannabis"
10230167859,"Medical value of cannabis"
10230141012,"Medical value of cannabis"
10229975238,"Medical value of cannabis"
10229949182,"Medical value of cannabis"
10229924394,"Medical value of cannabis"
10229872745,"Medical value of cannabis"
10229855762,"Medical value of cannabis"
10229839162,"Medical value of cannabis"
10229765765,"Medical value of cannabis"
10229687684,"Medical value of cannabis"
10229685334,"Medical value of cannabis"
10229670320,"Medical value of cannabis"
10229666678,"Medical value of cannabis"
10229649057,"Medical value of cannabis"
10229649053,"Medical value of cannabis"
10229631055,"Medical value of cannabis"
10229623103,"Medical value of cannabis"
10229590537,"Medical value of cannabis"
10229491086,"Medical value of cannabis"
10229467510,"Medical value of cannabis"
10229467101,"Medical value of cannabis"
10229414081,"Medical value of cannabis"
10229403521,"Medical value of cannabis"
10229400598,"Medical value of cannabis"
10229370437,"Medical value of cannabis"
10229359369,"Medical value of cannabis"
10229334562,"Medical value of cannabis"
