"id","response"
11310196747,"Medical value of cannabis"
11240366384,"Medical value of cannabis"
10647197076,"Medical value of cannabis"
10607912288,"Medical value of cannabis"
10557455189,"Medical value of cannabis"
10544524568,"Medical value of cannabis"
10498671034,"Medical value of cannabis"
10275638274,"Medical value of cannabis"
10239109393,"Medical value of cannabis"
10235873040,"Medical value of cannabis"
10231068611,"Medical value of cannabis"
10230431590,"Medical value of cannabis"
10229707932,"Medical value of cannabis"
10229680195,"Medical value of cannabis"
10229610141,"Medical value of cannabis"
10229601010,"Medical value of cannabis"
10229352625,"Medical value of cannabis"
10225562804,"Medical value of cannabis"
10215597692,"Medical value of cannabis"
10214140927,"Medical value of cannabis"
10212896873,"Medical value of cannabis"
10211143094,"Medical value of cannabis"
10199505748,"Medical value of cannabis"
10198147123,"Medical value of cannabis"
10196435492,"Medical value of cannabis"
10192485669,"Medical value of cannabis"
10192041422,"Medical value of cannabis"
10191743884,"Medical value of cannabis"
10191618664,"Medical value of cannabis"
10188601839,"Medical value of cannabis"
10186281148,"Medical value of cannabis"
10186078923,"Medical value of cannabis"
10180792818,"Medical value of cannabis"
10179920502,"Medical value of cannabis"
10179669534,"Medical value of cannabis"
10176933598,"Medical value of cannabis"
10172221711,"Medical value of cannabis"
10168795326,"Medical value of cannabis"
10167130854,"Medical value of cannabis"
10166676707,"Medical value of cannabis"
10166513618,"Medical value of cannabis"
10164798083,"Medical value of cannabis"
10161752939,"Medical value of cannabis"
10158359541,"Medical value of cannabis"
10153580627,"Medical value of cannabis"
10147353916,"Medical value of cannabis"
10145627229,"Medical value of cannabis"
10144768270,"Medical value of cannabis"
10143109892,"Medical value of cannabis"
10143056609,"Medical value of cannabis"
10142697139,"Medical value of cannabis"
10142600591,"Medical value of cannabis"
10142598571,"Medical value of cannabis"
10138814442,"Medical value of cannabis"
10138747058,"Medical value of cannabis"
10134812473,"Medical value of cannabis"
10134672044,"Medical value of cannabis"
10134444954,"Medical value of cannabis"
10133552929,"Medical value of cannabis"
10133313827,"Medical value of cannabis"
10132648660,"Medical value of cannabis"
10131449748,"Medical value of cannabis"
10129670801,"Medical value of cannabis"
10129169941,"Medical value of cannabis"
10129096589,"Medical value of cannabis"
10128457377,"Medical value of cannabis"
10128186756,"Medical value of cannabis"
10127475954,"Medical value of cannabis"
10127441384,"Medical value of cannabis"
10127174778,"Medical value of cannabis"
10127157053,"Medical value of cannabis"
10122454581,"Medical value of cannabis"
10120117922,"Medical value of cannabis"
10120091371,"Medical value of cannabis"
10120029854,"Medical value of cannabis"
10114292630,"Medical value of cannabis"
10114088770,"Medical value of cannabis"
10104860194,"Medical value of cannabis"
10647197076,"Cultivation and extraction"
10607912288,"Cultivation and extraction"
10544524568,"Cultivation and extraction"
10275638274,"Cultivation and extraction"
10250278548,"Cultivation and extraction"
10246614299,"Cultivation and extraction"
10235873040,"Cultivation and extraction"
10231068611,"Cultivation and extraction"
10230598781,"Cultivation and extraction"
10230346299,"Cultivation and extraction"
10229883527,"Cultivation and extraction"
10229707932,"Cultivation and extraction"
10229680195,"Cultivation and extraction"
10229610141,"Cultivation and extraction"
