"id","response"
11148895510,"Access to the right products"
10950506255,"Access to the right products"
10572726875,"Access to the right products"
10389539123,"Access to the right products"
10332089931,"Access to the right products"
10323152506,"Access to the right products"
10289128872,"Access to the right products"
10273619577,"Access to the right products"
10263513014,"Access to the right products"
10263390124,"Access to the right products"
10260573889,"Access to the right products"
10260087945,"Access to the right products"
10248394143,"Access to the right products"
10246399634,"Access to the right products"
10243813684,"Access to the right products"
10239531679,"Access to the right products"
10233663249,"Access to the right products"
10233531303,"Access to the right products"
10232773585,"Access to the right products"
10232503546,"Access to the right products"
10232232344,"Access to the right products"
10231678479,"Access to the right products"
10231654493,"Access to the right products"
10230754508,"Access to the right products"
10230603790,"Access to the right products"
10229949182,"Access to the right products"
10229872745,"Access to the right products"
10229649057,"Access to the right products"
10229631055,"Access to the right products"
10229590537,"Access to the right products"
10229426798,"Access to the right products"
10229403521,"Access to the right products"
10229359369,"Access to the right products"
10229357731,"Access to the right products"
10229350099,"Access to the right products"
10229334166,"Access to the right products"
10229306258,"Access to the right products"
10229304615,"Access to the right products"
10223907822,"Access to the right products"
10223638652,"Access to the right products"
10213685358,"Access to the right products"
10203196565,"Access to the right products"
10198548060,"Access to the right products"
10195755785,"Access to the right products"
10194494769,"Access to the right products"
10192995461,"Access to the right products"
10192533361,"Access to the right products"
10189186912,"Access to the right products"
10188835145,"Access to the right products"
10187399811,"Access to the right products"
10186789647,"Access to the right products"
10180903610,"Access to the right products"
10176860687,"Access to the right products"
10171532408,"Access to the right products"
10168741975,"Access to the right products"
10168633491,"Access to the right products"
10166135661,"Access to the right products"
10166086781,"Access to the right products"
10158853744,"Access to the right products"
10156516032,"Access to the right products"
10147185169,"Access to the right products"
10143284849,"Access to the right products"
10140183753,"Access to the right products"
10139061871,"Access to the right products"
10138761669,"Access to the right products"
10134674468,"Access to the right products"
10133620417,"Access to the right products"
10131883157,"Access to the right products"
10131305406,"Access to the right products"
10131242010,"Access to the right products"
10131195330,"Access to the right products"
10130042878,"Access to the right products"
10127496364,"Access to the right products"
10127475954,"Access to the right products"
10127359614,"Access to the right products"
10125565226,"Access to the right products"
10125413527,"Access to the right products"
10125239383,"Access to the right products"
10124310683,"Access to the right products"
10120946731,"Access to the right products"
10120088047,"Access to the right products"
10117806489,"Access to the right products"
10113045616,"Access to the right products"
10107266347,"Access to the right products"
11148895510,"Place to consume cannabis"
11111801761,"Place to consume cannabis"
10950506255,"Place to consume cannabis"
10633844023,"Place to consume cannabis"
10615382686,"Place to consume cannabis"
10585127234,"Place to consume cannabis"
10572726875,"Place to consume cannabis"
10444236346,"Place to consume cannabis"
10372191516,"Place to consume cannabis"
10332089931,"Place to consume cannabis"
10260573889,"Place to consume cannabis"
10247119003,"Place to consume cannabis"
10243813684,"Place to consume cannabis"
10236223392,"Place to consume cannabis"
10234227563,"Place to consume cannabis"
10231654493,"Place to consume cannabis"
10230236662,"Place to consume cannabis"
10229590537,"Place to consume cannabis"
10229459581,"Place to consume cannabis"
10229449766,"Place to consume cannabis"
10223907822,"Place to consume cannabis"
10203196565,"Place to consume cannabis"
10192995461,"Place to consume cannabis"
10192878974,"Place to consume cannabis"
10192552732,"Place to consume cannabis"
10192533361,"Place to consume cannabis"
10188835145,"Place to consume cannabis"
10188408371,"Place to consume cannabis"
10186789647,"Place to consume cannabis"
10185410224,"Place to consume cannabis"
10180903610,"Place to consume cannabis"
10171532408,"Place to consume cannabis"
10171522285,"Place to consume cannabis"
10166774106,"Place to consume cannabis"
10166086781,"Place to consume cannabis"
10164915493,"Place to consume cannabis"
10158853744,"Place to consume cannabis"
10156516032,"Place to consume cannabis"
10153739906,"Place to consume cannabis"
10143284849,"Place to consume cannabis"
10142731921,"Place to consume cannabis"
10142600591,"Place to consume cannabis"
10140183753,"Place to consume cannabis"
10138761669,"Place to consume cannabis"
10137267705,"Place to consume cannabis"
10131883157,"Place to consume cannabis"
10131300085,"Place to consume cannabis"
10131242010,"Place to consume cannabis"
10131192376,"Place to consume cannabis"
10130189844,"Place to consume cannabis"
10129421681,"Place to consume cannabis"
10127786477,"Place to consume cannabis"
10127475954,"Place to consume cannabis"
10127199021,"Place to consume cannabis"
10125239383,"Place to consume cannabis"
10124310683,"Place to consume cannabis"
10120946731,"Place to consume cannabis"
10120088047,"Place to consume cannabis"
10117478255,"Place to consume cannabis"
10116352346,"Place to consume cannabis"
10113930337,"Place to consume cannabis"
10113045616,"Place to consume cannabis"
10104651807,"Place to consume cannabis"
11111801761,"Workplace testing or other policies"
10950506255,"Workplace testing or other policies"
10615607693,"Workplace testing or other policies"
10572726875,"Workplace testing or other policies"
10552807575,"Workplace testing or other policies"
10542229138,"Workplace testing or other policies"
10492240590,"Workplace testing or other policies"
10444236346,"Workplace testing or other policies"
10390735914,"Workplace testing or other policies"
