"id","Strain 1","Strain 2","Strain 3"
10229488647,"kush","",""
10133779899,"Mr. Clean","Golden lemon","Pennywise"
10615389728,"Hybrid ","Sativa","Indica"
10136956781,"Gg4","Black dog","Bio disesl "
10232619769,"Sour d ","Chem dawg ","Your mama"
10167461882,"Purple Gorilla","Green Crack","Purple Urkle "
10514133473,"ACDC","Skywalker","Harlequin"
10288684650,"Master Kush x Skunk","Banana OG","Deep Chunkolate"
10235873040,"Blueberry og","",""
10235861140,"Because I buy non-regulated, I'm not always sure what my strain is.","Northern Lights","Cherry Pie"
10230804869,"Kosher kush","Skywalker","Gorilla glue"
10229628331,"Diesel ","OG Kush","Buddah "
10214140927,"Blue Dream","Green Crack","Sour Diesel"
10201076986,"green crack","grandadddy purp","headband"
10158853744,"Blue berry","Sour purple desle","White widow"
10156543135,"Sacari","Buddha's Sister","Melodious Funk x Jack Herer"
10145264898,"White Widow Skunk","Deep Chunkolate","Bruce Banner"
10142940938,"Sour Tsunami ","Hurricane","Facewreck"
10140592522,"n/a","n/a","n/a"
10136878865,"Green crack","Lemon cello","Kill queen"
10134673876,"shark shock","wedding cake","pink panties"
10132235608,"Night Nurse","Mango Kush","Lemon Jeffrey "
10127294443,"Blue dream","Facewreck","Stardawg"
10124310683,"Doesnt matter","Doesnt matter","Doesnt matter"
10123037906,"Green crack","Gorilla glue ","Mimosa"
10958082921,"Wedding Cake ","Gorilla Glue","Skunk"
10614765881,"Meltdown","Blue Cheese","'88 G-13 Hashplant"
10584635591,"Sour Diesel","Blue Dream","BIo Diesel"
10340116686,"GG4","Bootylicious ","Blue dream "
10201808150,"Chem dawg","Gorilla glue #4","Og kush"
10178504083,"Star pupil","Bruce banner","Grape ape"
10176802981,"Tang Tang Afghani","Lemon Meringue","Cookies and Cream"
10166956961,"Strawberry Haze","Green Crack","Rosetta "
10164556386,"Blue OG","Purple Kush","Gorilla Glue #4"
10160586191,"Madgirl","Citrix","Gummy Bear"
10142134805,"Tangerine Haze","Hurricane","Jack Pine"
10131191189,"blue dream","redline",""
10128457377,"Blissful Wizard","Durban Poison","Blue Dream"
10121182078,"Sweet black angel","Lavender jones ","Sour tsunami"
10113037295,"Sunshine Daydream","Mother of Berries ","Blueberry "
11095751213,"Critical Sensei Star","Garlic Grove","9 pound hammer"
10241027129,"Any Indica","",""
10234243108,"White Widow","Maui Wowie","Purple Trainwreck"
10233370591,"Lemon og","Cosmic glue","Jack herer"
10230346299,"Durban poison","Blue dream","Headband"
10229680195,"L'Orange","Sour Diesel","Super Lemon Haze"
10212896873,"Bubba Kush","Sour Diesel","Death Star"
10198229092,"Tropicanna","Super Lemon Haze","Pucker"
10198112398,"Super Lemon Haze","Silver Mountain ",""
10185410224,"Trainwreck","OG Kush","Chocolate Oranges"
10180792818,"idk","idk","idk"
10178986427,"Blue dream ","Sky walker OG","Cheese (any) "
10178427378,"Silver Haze","Blue Dream","Bubblegum"
10176318815,"soulmate","buddha's sister","headband"
10158359541,"Strawberry Fields","Black D.O.G.","Grand Daddy Purp "
10129462723,"Bio Deisel","Blue OG","Gorilla Glue"
10127347345,"black mamba","",""
10127222916,"pomegranate blueberry (indica cartridge from Neta) ","OG Kush","chem dog "
10123332415,"Star 91 #8","Grease Monkey #7","Double Stuffed"
10120110022,"Lemon Meringue ","Blue Dream","Durban Poison"
10118620332,"Star 91 #8","Grease Monkey #7","Double Stuffed"
