"id","response"
10615475788,"Generally helps with quality of life"
10384460168,"Generally helps with quality of life"
10232561621,"Generally helps with quality of life"
10230112524,"Generally helps with quality of life"
10229684451,"Generally helps with quality of life"
10229449136,"Generally helps with quality of life"
10219430081,"Generally helps with quality of life"
10189186912,"Generally helps with quality of life"
10188408371,"Generally helps with quality of life"
10180666815,"Generally helps with quality of life"
10164798083,"Generally helps with quality of life"
10152780535,"Generally helps with quality of life"
10145094441,"Generally helps with quality of life"
10142600591,"Generally helps with quality of life"
10137880777,"Generally helps with quality of life"
10128711809,"Generally helps with quality of life"
10127820444,"Generally helps with quality of life"
10119784107,"Generally helps with quality of life"
11111801761,"Generally helps with quality of life"
10585955967,"Generally helps with quality of life"
10444236346,"Generally helps with quality of life"
10229306258,"Generally helps with quality of life"
10224212235,"Generally helps with quality of life"
10191618664,"Generally helps with quality of life"
10180645404,"Generally helps with quality of life"
10176219723,"Generally helps with quality of life"
10166513618,"Generally helps with quality of life"
10164188167,"Generally helps with quality of life"
10158941676,"Generally helps with quality of life"
10146296373,"Generally helps with quality of life"
10142701054,"Generally helps with quality of life"
10142601611,"Generally helps with quality of life"
10129349932,"Generally helps with quality of life"
10129124458,"Generally helps with quality of life"
10128374991,"Generally helps with quality of life"
10125676815,"Generally helps with quality of life"
10124369213,"Generally helps with quality of life"
10123609822,"Generally helps with quality of life"
10113725108,"Generally helps with quality of life"
10113111202,"Generally helps with quality of life"
10304363791,"Generally helps with quality of life"
10270973993,"Generally helps with quality of life"
10233496428,"Generally helps with quality of life"
10230323835,"Generally helps with quality of life"
10230318306,"Generally helps with quality of life"
10229534721,"Generally helps with quality of life"
10229467510,"Generally helps with quality of life"
10215597692,"Generally helps with quality of life"
10192572679,"Generally helps with quality of life"
10184422610,"Generally helps with quality of life"
10176527440,"Generally helps with quality of life"
10172560254,"Generally helps with quality of life"
10148937663,"Generally helps with quality of life"
10145856040,"Generally helps with quality of life"
10142697202,"Generally helps with quality of life"
10142594482,"Generally helps with quality of life"
10133394849,"Generally helps with quality of life"
10131646744,"Generally helps with quality of life"
