"id","response"
11148895510,"100"
11111801761,"85"
10626429877,"80"
10615382686,"50"
10544586314,"60"
10516361607,"0"
10464834197,"100"
10361398461,"20"
10313041082,"60"
10289128872,"200"
10288684650,"60"
10263390124,"60"
10249664681,"200"
10247119003,"100"
10243813684,"100"
10239109393,"0"
10235888421,"55"
10233663249,"50"
10232561621,"50"
10231985248,"50"
10231654493,"40"
10231320543,"50"
10230754508,"100"
10230326071,"100"
10230119752,"10"
10230014122,"30"
10229975238,"35"
10229706080,"60"
10229649057,"75"
10229605942,"7"
10229595919,"100"
10229590537,"250"
10229561329,"10"
10229507895,"5"
10229494406,"8"
10229453603,"5"
10229451801,"20"
10229447544,"20"
10229426798,"22"
10229350099,"5000"
10229332529,"150"
10229326183,"43"
10229325434,"400"
10229317169,"25"
10226660268,"100"
10213685358,"80"
10211143094,"150"
10201740973,"70"
10196435492,"50"
10192995461,"200"
10192677147,"200"
10192556821,"50"
10188478016,"75"
10186789647,"75"
10185410224,"200"
10180903610,"75"
10179657355,"25"
10176582087,"300"
10175028993,"70"
10168633491,"150"
10168553663,"60"
10166785910,"50"
10166774106,"150"
10166125436,"1"
10166086781,"50"
10164798083,"70"
10163869931,"100"
10159689338,"200"
10156521325,"100"
10148289731,"50"
10146296373,"60"
10142993231,"30"
10142762492,"15"
10142214540,"100"
10140183753,"50"
10138761669,"150"
10133313827,"150"
10131726683,"50"
10131300085,"250"
10131192376,"50"
10131149670,"25"
10131117879,"100"
10129670801,"25"
10129657579,"80"
10129349932,"150"
10128374991,"25"
10128026830,"30"
10127959516,"50"
10127844274,"25"
10127786477,"75"
10127640903,"200"
10127434115,"50"
10127186413,"40"
10120474217,"200"
10118545790,"18"
10117806489,"100"
10113145654,"70"
10113045616,"150"
10112996557,"60"
10104860194,"50"
10104651807,"0"
