"id","response"
10544586314,"Medical value of cannabis"
10516361607,"Medical value of cannabis"
10288684650,"Medical value of cannabis"
10247119003,"Medical value of cannabis"
10243813684,"Medical value of cannabis"
10239109393,"Medical value of cannabis"
10233663249,"Medical value of cannabis"
10232561621,"Medical value of cannabis"
10231985248,"Medical value of cannabis"
10231654493,"Medical value of cannabis"
10231320543,"Medical value of cannabis"
10230326071,"Medical value of cannabis"
10230119752,"Medical value of cannabis"
10230014122,"Medical value of cannabis"
10229975238,"Medical value of cannabis"
10229649057,"Medical value of cannabis"
10229595919,"Medical value of cannabis"
10229590537,"Medical value of cannabis"
10229561329,"Medical value of cannabis"
10229494406,"Medical value of cannabis"
10229451801,"Medical value of cannabis"
10229447544,"Medical value of cannabis"
10229426798,"Medical value of cannabis"
10229332529,"Medical value of cannabis"
10229325434,"Medical value of cannabis"
10229317169,"Medical value of cannabis"
10226660268,"Medical value of cannabis"
10211143094,"Medical value of cannabis"
10201740973,"Medical value of cannabis"
10196435492,"Medical value of cannabis"
10192995461,"Medical value of cannabis"
10192677147,"Medical value of cannabis"
10192556821,"Medical value of cannabis"
10188478016,"Medical value of cannabis"
10185410224,"Medical value of cannabis"
10180903610,"Medical value of cannabis"
10179657355,"Medical value of cannabis"
10176582087,"Medical value of cannabis"
10175028993,"Medical value of cannabis"
10168633491,"Medical value of cannabis"
10168553663,"Medical value of cannabis"
10166785910,"Medical value of cannabis"
10164798083,"Medical value of cannabis"
10156521325,"Medical value of cannabis"
10148289731,"Medical value of cannabis"
10142993231,"Medical value of cannabis"
10142762492,"Medical value of cannabis"
10142214540,"Medical value of cannabis"
10138761669,"Medical value of cannabis"
10133313827,"Medical value of cannabis"
10131726683,"Medical value of cannabis"
10131149670,"Medical value of cannabis"
10131117879,"Medical value of cannabis"
10129670801,"Medical value of cannabis"
10129657579,"Medical value of cannabis"
10128374991,"Medical value of cannabis"
10127844274,"Medical value of cannabis"
10127786477,"Medical value of cannabis"
10127640903,"Medical value of cannabis"
10117806489,"Medical value of cannabis"
10113045616,"Medical value of cannabis"
10104860194,"Medical value of cannabis"
11148895510,"Cultivation and extraction"
11111801761,"Cultivation and extraction"
10615382686,"Cultivation and extraction"
10544586314,"Cultivation and extraction"
10516361607,"Cultivation and extraction"
10313041082,"Cultivation and extraction"
10288684650,"Cultivation and extraction"
10235888421,"Cultivation and extraction"
10232561621,"Cultivation and extraction"
10231985248,"Cultivation and extraction"
10231654493,"Cultivation and extraction"
10231320543,"Cultivation and extraction"
10230119752,"Cultivation and extraction"
10230014122,"Cultivation and extraction"
10229975238,"Cultivation and extraction"
10229649057,"Cultivation and extraction"
10229605942,"Cultivation and extraction"
10229590537,"Cultivation and extraction"
10229561329,"Cultivation and extraction"
10229507895,"Cultivation and extraction"
10229453603,"Cultivation and extraction"
10229447544,"Cultivation and extraction"
10229350099,"Cultivation and extraction"
10229325434,"Cultivation and extraction"
10213685358,"Cultivation and extraction"
10211143094,"Cultivation and extraction"
10196435492,"Cultivation and extraction"
10192677147,"Cultivation and extraction"
10188478016,"Cultivation and extraction"
10185410224,"Cultivation and extraction"
10180903610,"Cultivation and extraction"
10179657355,"Cultivation and extraction"
10176582087,"Cultivation and extraction"
10175028993,"Cultivation and extraction"
10168633491,"Cultivation and extraction"
10168553663,"Cultivation and extraction"
10166785910,"Cultivation and extraction"
10159689338,"Cultivation and extraction"
10156521325,"Cultivation and extraction"
10148289731,"Cultivation and extraction"
10142762492,"Cultivation and extraction"
10138761669,"Cultivation and extraction"
10133313827,"Cultivation and extraction"
10131117879,"Cultivation and extraction"
10129670801,"Cultivation and extraction"
10129657579,"Cultivation and extraction"
10129349932,"Cultivation and extraction"
10128026830,"Cultivation and extraction"
10127844274,"Cultivation and extraction"
10127786477,"Cultivation and extraction"
10127640903,"Cultivation and extraction"
10117806489,"Cultivation and extraction"
10113145654,"Cultivation and extraction"
10104651807,"Cultivation and extraction"
11111801761,"Cannabis genetics"
10544586314,"Cannabis genetics"
10516361607,"Cannabis genetics"
10288684650,"Cannabis genetics"
10263390124,"Cannabis genetics"
10235888421,"Cannabis genetics"
10231985248,"Cannabis genetics"
10231320543,"Cannabis genetics"
10230326071,"Cannabis genetics"
10230119752,"Cannabis genetics"
10230014122,"Cannabis genetics"
10229649057,"Cannabis genetics"
10229590537,"Cannabis genetics"
10229494406,"Cannabis genetics"
10229426798,"Cannabis genetics"
10213685358,"Cannabis genetics"
10201740973,"Cannabis genetics"
10192995461,"Cannabis genetics"
10192677147,"Cannabis genetics"
10192556821,"Cannabis genetics"
10186789647,"Cannabis genetics"
10185410224,"Cannabis genetics"
10180903610,"Cannabis genetics"
10179657355,"Cannabis genetics"
10176582087,"Cannabis genetics"
10168633491,"Cannabis genetics"
10168553663,"Cannabis genetics"
10142762492,"Cannabis genetics"
10138761669,"Cannabis genetics"
10131300085,"Cannabis genetics"
10131117879,"Cannabis genetics"
10129657579,"Cannabis genetics"
10129349932,"Cannabis genetics"
10127640903,"Cannabis genetics"
10118545790,"Cannabis genetics"
10113145654,"Cannabis genetics"
10104651807,"Cannabis genetics"
11148895510,"Different effects of different cannabinoids"
10544586314,"Different effects of different cannabinoids"
10516361607,"Different effects of different cannabinoids"
10464834197,"Different effects of different cannabinoids"
10289128872,"Different effects of different cannabinoids"
10288684650,"Different effects of different cannabinoids"
10243813684,"Different effects of different cannabinoids"
