"id","response"
11177812554,"Allbud"
10230014122,"Allbud"
10229779148,"Allbud"
10229605942,"Allbud"
10193163013,"Allbud"
10174274823,"Allbud"
10160356483,"Allbud"
10148289731,"Allbud"
10143929046,"Allbud"
10142762492,"Allbud"
10137849877,"Allbud"
10132036582,"Allbud"
10130007269,"Allbud"
10127001678,"Allbud"
10123538695,"Allbud"
10123332415,"Allbud"
10118620332,"Allbud"
10116307435,"Allbud"
11177812554,"Eaze"
11177812554,"Leafly"
11095751213,"Leafly"
10626429877,"Leafly"
10616732328,"Leafly"
10444236346,"Leafly"
10235412173,"Leafly"
10234287047,"Leafly"
10232428512,"Leafly"
10230746193,"Leafly"
10230393816,"Leafly"
10230330738,"Leafly"
10230323835,"Leafly"
10230119752,"Leafly"
10230050316,"Leafly"
10230014122,"Leafly"
10229862575,"Leafly"
10229779148,"Leafly"
10229605942,"Leafly"
10229605070,"Leafly"
10229561329,"Leafly"
10229505070,"Leafly"
10229494406,"Leafly"
10229453603,"Leafly"
10229447544,"Leafly"
10229331171,"Leafly"
10217868533,"Leafly"
10212670183,"Leafly"
10193163013,"Leafly"
10192058859,"Leafly"
10179657355,"Leafly"
10176250797,"Leafly"
10174274823,"Leafly"
10171530553,"Leafly"
10171522285,"Leafly"
10170264544,"Leafly"
10160356483,"Leafly"
10153479989,"Leafly"
10148289731,"Leafly"
10143929046,"Leafly"
10142762492,"Leafly"
10142603713,"Leafly"
10141267339,"Leafly"
10137922390,"Leafly"
10137849877,"Leafly"
10136878865,"Leafly"
10132036582,"Leafly"
10131726683,"Leafly"
10131197878,"Leafly"
10131192376,"Leafly"
10130007269,"Leafly"
10128242064,"Leafly"
10127844274,"Leafly"
10127383570,"Leafly"
10127311385,"Leafly"
10127249037,"Leafly"
10127001678,"Leafly"
10124378453,"Leafly"
10123538695,"Leafly"
10123332415,"Leafly"
10120190166,"Leafly"
10118620332,"Leafly"
10118545790,"Leafly"
10116307435,"Leafly"
11177812554,"Medical Jane"
10234287047,"Medical Jane"
10230050316,"Medical Jane"
10229779148,"Medical Jane"
10229605942,"Medical Jane"
10229605070,"Medical Jane"
10229447544,"Medical Jane"
10142762492,"Medical Jane"
10234287047,"The Cannabist"
10230393816,"The Cannabist"
10230119752,"The Cannabist"
10230050316,"The Cannabist"
10229605942,"The Cannabist"
10229447544,"The Cannabist"
10192604228,"The Cannabist"
10192058859,"The Cannabist"
10174274823,"The Cannabist"
10170264544,"The Cannabist"
10166549801,"The Cannabist"
10148289731,"The Cannabist"
10142762492,"The Cannabist"
10131726683,"The Cannabist"
10137849877,"Tokr"
11095751213,"Weedmaps"
10626429877,"Weedmaps"
10235626582,"Weedmaps"
10234287047,"Weedmaps"
10232428512,"Weedmaps"
10230746193,"Weedmaps"
10230393816,"Weedmaps"
10230323835,"Weedmaps"
10230014122,"Weedmaps"
10229605942,"Weedmaps"
10229605070,"Weedmaps"
10229561329,"Weedmaps"
10217868533,"Weedmaps"
10192604228,"Weedmaps"
10174274823,"Weedmaps"
10160356483,"Weedmaps"
10153479989,"Weedmaps"
10151593500,"Weedmaps"
10137922390,"Weedmaps"
10136878865,"Weedmaps"
10132036582,"Weedmaps"
10131197878,"Weedmaps"
10131192376,"Weedmaps"
10130007269,"Weedmaps"
10128242064,"Weedmaps"
10127844274,"Weedmaps"
10127383570,"Weedmaps"
10127311385,"Weedmaps"
10120190166,"Weedmaps"
10116307435,"Weedmaps"
10113111202,"Weedmaps"
10234287047,"Wikileaf"
10230014122,"Wikileaf"
10229779148,"Wikileaf"
10212670183,"Wikileaf"
10170264544,"Wikileaf"
10166549801,"Wikileaf"
10160356483,"Wikileaf"
10143929046,"Wikileaf"
10142762492,"Wikileaf"
10131197878,"Wikileaf"
10130007269,"Wikileaf"
10128242064,"Wikileaf"
10127383570,"Wikileaf"
10127001678,"Wikileaf"
10123538695,"Wikileaf"
10113111202,"Wikileaf"
10232097349,"Not applicable"
10229595919,"Not applicable"
10198104111,"Not applicable"
10194559499,"Not applicable"
10166125436,"Not applicable"
10152934544,"Not applicable"
10124268487,"Not applicable"
10113809878,"Not applicable"
10229605070,"Other (please enter below)"
10193163013,"Other (please enter below)"
10166791366,"Other (please enter below)"
10153479989,"Other (please enter below)"
10128945239,"Other (please enter below)"
10127383570,"Other (please enter below)"
10123538695,"Other (please enter below)"
10230330738,"Other (please specify)"
10229605070,"Other (please specify)"
10229505070,"Other (please specify)"
10193163013,"Other (please specify)"
10171522285,"Other (please specify)"
10166791366,"Other (please specify)"
10153479989,"Other (please specify)"
10128945239,"Other (please specify)"
10127383570,"Other (please specify)"
10123538695,"Other (please specify)"
