"id","Strain 1","Strain 2","Strain 3"
10988913967,"Citrique","Blue Dream","GG #4"
10860732079,"Blueberry Headband","Car Crash","Purple Lamberghini"
10614924685,"Sour Diesel","Zskittles","Billy Kimber"
10603607110,"Jack Herer","Almost any Haze","Sour Diesel"
10597433235,"Na","",""
10596889129,"Meltdown","Durban poison",""
10596325481,"Sativa","",""
10553098999,"sour diesel ","blueberry kush","lamborghini purple "
10527406782,"GSC","Jack Herer","Purple Lamborghini"
10525282146,"Blue dream","Strawberry bannana","MELTDOWN"
10521362802,"Blue dream","Alaskan thunder fuck","Gorilla glue"
10494159100,"GG#4","Blue Dream","Purple Lamborghini"
10487495934,"GSC","Jack Herer","Jack Frost"
10471159357,"Lemon merengue ","Blue dream","Black mamba"
10470869221,"blue dream","buddah's sister","girl scout cookie"
10459656588,"I don’t ","Really ","Have one"
10421900482,"Blueberry","Girl scout cookies","Mr clean"
10379032541,"OG Kush CBD","CBD yummy","Lemon skunk"
10376051125,"Stardawg","Mr. Clean","N/A"
10368748891,"Trainwreck","Chocolope","Headband"
10366669189,"Wedding Cake ","Northern Lights","Grand daddy purp"
10360662743,"Varies","",""
10360328144,"Citrus Sap","Herijuana","Highwayman"
10360076082,"Jack Herer","Lemon Meringue","Girl Scout Cookies"
10359785451,"Gorilla Gule","",""
10356775054,"GG","Sour Diesel","Sunset Sherbet "
10351077835,"Gorilla Glue","Mr. Clean","Purple Lamborgini"
10340437345,"kush","black mamba","gg4"
10340102889,"gsg","black mamba","nut butters"
10339036137,"Sour banana sherbert","88 G13 hashplant","GG#4"
10338442514,"Deisel","Mimosa","Cheese"
10338441893,"GG4","Black mamba ","Meltdown "
10337906655,"GG","Tango","Lemon"
10335783703,"Buddhas sister","Tangi","Gg"
10332551377,"Lee Roy ","Ghost train","Purple Lamborghini "
10330190159,"PURPLE LAMBORGHINI","GG#4","MR. CLEAN"
10318021604,"Kush","3 chems","Purple dawg"
10300758304,"Northern Lights and hybrids","White Widow and hybrids","Sour Diesel and hybrids"
10300130942,"blue dream","white widow","pineappple express"
10241028492,"Mr. Clean","Lemon mirange","Highway"
10238390086,"Goat # 12","Black Domina","GSC"
10238232961,"Sour Diesel","JackHerrer",""
10236170245,"Black Mamba","Jack Herrer",""
10225303971,"Chocolate oranges","Diesel dough","Cookies and cream"
10225277102,"GG (Gorilla Glue)","Buddha's Sister","G88 (? a Sira strain I had months ago)"
10208039150,"Jack Herrer","Super Sour Deisel ","Jack Frost"
10206158915,"Sour sunset","Gorilla glue","Cantelope haze"
10204019952,"GG4","Lemon haze","Candymam "
10193047314,"Chuck OG","Whitewidow ","Hurkel "
10192314833,"Citrique","Cannalope Haze","Lemon Meringue "
10192273195,"Gorilla Glue","Star Dawg","Sour Diesel"
10190947944,"Orange valley ","Gsc ","Meltdown "
10190929558,"Vyb ","Gsc ","Jack"
10190798612,"Grape God","white widow","Bruce Banner"
10190502049,"GSC","C99","Sour Diesel"
10187400493,"Purple dawg, ","Star dawg","Lemone morrange"
10183941925,"Tangerine Haze","Buddhas sister","GSC"
10178582148,"Chronic","Sour diesel ","Star dawg"
10177882021,"jack herer","",""
10175116751,"Cookies and Cream","Lemon meringue ","Sweet tooth "
10173030904,"blueberry","",""
10168762235,"French Toast","Evelyn","Star Dawg"
10168579625,"Mr. Clean","Chemdawg","Moonrise"
10162152137,"GG4 ","Sweet tooth","Chuck OG"
10160861863,"Lemon haze","Blue nina","Lite sabor (?)"
10160778447,"Grapefruit","Durban Poison","Cinderella 99"
10160775776,"Lemon Kush Headband ","Durban Poison","Lambs Dew"
10160774983,"blue dream","gorilla glue","black maria"
10160658776,"peach puree","star dawg","black mamba"
10156608527,"Citrique","RC House Blend","Facewreck"
10156409238,"French Toast","Gg#4","Houseblend "
10155135154,"Tangie","Sour Diesel","Star Dawg"
10152004658,"Gg4","",""
10151477305,"Durban poison ","Sour diesel ","Girl Scout cookie"
10149753475,"Cbd yummy ","Highwayman","Bootylicious"
10149081801,"Deadhead OG","Black mamba","Extreme cream"
10146426516,"Black Raspberry","Ghost Train Haze","Cookies and Cream"
10145747234,"GDP ","Larry og","Mango kush"
10145424074,"K dawg","",""
10144891173,"Sour Tangie","CBD Yummy","OG Kush CBD"
10144784012,"Lemon haze","Candyland","Blueberry dream"
10144770514,"Green Crack","Mae's Cattatonic ","Doc Tonic "
10144770172,"n/a","n/a","n/a"
10144282577,"Peach Puree","Blue Dreams","CBD Yummy"
10144213927,"GG4","Purple Dawg","Chocolate Oranges #4"
10143349304,"Purple Haze","Bootylicious","UltraDank50K-Platinum+"
10142838154,"Tangie","Blue Dream","Blueberry"
10140779099,"Sour Diesel ","Bubba Kush","Lemon Haze"
10140405521,"gorilla glue ","purple lamborghini","double black mombo"
10140382066,"Lemon meringue","Tangie","Clementine"
10140213419,"The Guice ","Mimosas ","GG #4"
10139319216,"I don't have any currently","sorry this answer sucks","¯\_(ツ)_/¯ "
10138871167,"Sour Diesel","Blue Dream","Kush"
10138808762,"No favorite","",""
10137284368,"Sour ","P k","Purple haze"
10137155410,"Blueberry Terpene Cartridge","Star Dawg","Lemon WalkerLemon Walker"
10136579466,"Sativa","Hydro","Indica"
10136259591,"Lemon meringue ","VYB boost",""
10136235108,"All","All","All"
10136214824,"Sativa","",""
10136212598,"Gg4","Dawg","Black"
10136195035,"Citrique","Purple Dawg","Lemon Meringue "
10135403063,"KT DAWG","Purple glue","Blue dream "
10135096772,"GG","Fade","girl scout cookies"
10135082388,"Og ","Trainwreck","Silver haze"
10134739613,"Indicas","Sativa hybrids",""
10134588691,"Sour ","Pink pez","Blubetty"
10134411276,"Granddaddy purp","Kush","Tangie "
10134364223,"GSC","C&C","GG4"
10133446775,"Star Dawg","OG Cush","Star Dawg"
10132781587,"Granddaddy purple","GG4","Chuck og"
10132690458,"Sweet Tooth ","Domnesia","KT Dawg"
10132240865,"Grape god","Granddaddy purple ","Sweetooth"
10131433413,"gorilla glue","Kushberry","double black domina"
