"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11250741921,"","","","1000+ mg","","","","","",""
11250357688,"","","","","","","","","",""
11249911719,"","","","1000+ mg","","","","","",""
11238558967,"","","","1000+ mg","","","","","201- 500 mg",""
11208627585,"","","","1000+ mg","","","","1000+ mg","1000+ mg","1000+ mg"
11188216657,"","","","","","","","","",""
11166390085,"","","","101-200 mg","","","","","","101-200 mg"
11141987359,"","","","","","","","","",""
11138400653,"","","","51-100 mg","","","","","",""
11137652132,"","","","51-100 mg","","","","","","26-50 mg"
11135778856,"","","","I don't know how much I use per week","","","","","",""
11135476295,"","","","","","","","","","1000+ mg"
11135466512,"","","","I don't know how much I use per week","","","","","",""
11135389919,"","","","1000+ mg","","","","501-1000 mg","201- 500 mg",""
11135022253,"","","","","","","","","",""
11134932854,"","","","","","","","","",""
11134536706,"","","","","","","","","",""
11131514317,"","","","6-25 mg","","","","","",""
11129003813,"","","","","","","","","",""
11111974827,"","","","","","","","","",""
11105188699,"","","","1000+ mg","","","","","","51-100 mg"
11064470565,"","","","","","","","","",""
11061509902,"","","","501-1000 mg","","","","","","101-200 mg"
11054943670,"","","","101-200 mg","","","","1000+ mg","101-200 mg","201- 500 mg"
11045739846,"","","","1000+ mg","","","","","",""
11034650778,"","","","","","","","","",""
11014798443,"","","","1000+ mg","","","","","","1000+ mg"
11006369538,"","","","","","","","","",""
10975405385,"","","","","","","","","",""
10886185272,"","","","1000+ mg","","","","1000+ mg","1000+ mg","1000+ mg"
10882385979,"","","","501-1000 mg","","","","","",""
10879268147,"","","","","","","","","",""
10877375002,"","","","","","","","","",""
10876604101,"","","","1000+ mg","","","","None","None",""
10876510380,"","","","6-25 mg","","","","None","","51-100 mg"
10876100377,"","","","I don't know how much I use per week","","","","","",""
10875696093,"","","","","","","","","",""
10875529110,"","","","I don't know how much I use per week","","","","","",""
10875526461,"","","","","","","","","",""
10872582813,"","","","I don't know how much I use per week","","","","","",""
10867812743,"","","","I don't know how much I use per week","","","","","",""
10867323115,"","","","","","","","","",""
10865633390,"","","","1000+ mg","","","","","",""
10864981709,"","","","501-1000 mg","","","","","","101-200 mg"
10864052390,"","","","","","","","","",""
10856003172,"","","","6-25 mg","","","","","",""
10848742483,"","","","101-200 mg","","","","","",""
10848029491,"","","","501-1000 mg","","","","","",""
10847826329,"","","","201- 500 mg","","","","","",""
10844298162,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10844291789,"","","","51-100 mg","","","","","",""
10843917537,"","","","","","","","","","501-1000 mg"
10843815732,"","","","","","","","","",""
10843797483,"","","","201- 500 mg","","","","","","26-50 mg"
10843006971,"","","","I don't know how much I use per week","","","","","",""
10842054674,"","","","","","","","","",""
10840178037,"","","","1000+ mg","","","","None","201- 500 mg","1000+ mg"
10839396047,"","","","501-1000 mg","","","","","",""
10837914247,"","","","","","","","","",""
10835639035,"","","","51-100 mg","","","","","",""
10835578531,"","","","5 mg","","","","","","None"
10834379529,"","","","","","","","","",""
10834249218,"","","","","","","","","",""
10833790283,"","","","I don't know how much I use per week","","","","","",""
10832270581,"","","","101-200 mg","","","","","",""
10831929904,"","","","I don't know how much I use per week","","","","","",""
10831181023,"","","","","","","","","",""
10830145897,"","","","","","","","","",""
10802360410,"","","","","","","","","",""
10764443236,"","","","","","","","","",""
10749570344,"","","","51-100 mg","","","","","",""
10682649508,"","","","5 mg","","","","","",""
10677653881,"","","","","","","","","",""
10671153091,"","","","1000+ mg","","","","None","I don't know how much I use per week","None"
10667582585,"","","","","","","","","",""
10667398958,"","","","201- 500 mg","","","","","",""
10661330404,"","","","","","","","","",""
10615243125,"","","","I don't know how much I use per week","","","","","I don't know how much I use per week",""
10614375447,"","","","I don't know how much I use per week","","","","","",""
10596255014,"","","","","","","","","",""
10589179962,"","","","I don't know how much I use per week","","","","","",""
10581933788,"","","","201- 500 mg","","","","","","26-50 mg"
10577144137,"","","","1000+ mg","","","","","","None"
10575471607,"","","","","","","","","",""
10575226552,"","","","501-1000 mg","","","","","",""
10570146744,"","","","1000+ mg","","","","","",""
10569280747,"","","","6-25 mg","","","","","",""
10566881623,"","","","","","","","","",""
11212805644,"","","","","","","","","",""
11044680699,"","","","","","","","","",""
10991821033,"","","","I don't know how much I use per week","","","","","",""
10974437681,"","","","101-200 mg","","","","","",""
10956719648,"","","","","","","","","",""
10632499407,"","","","51-100 mg","","","","","",""
10632389881,"","","","","","","","","",""
10580166038,"","","","101-200 mg","","","","","",""
10579551441,"","","","","","","","","",""
10868495105,"","","","201- 500 mg","","","","","","201- 500 mg"
10716623034,"","","","","","","","","",""
10671009796,"","","","51-100 mg","","","","","",""
10574111964,"","","","","","","","","",""
10569513731,"","","","","","","","","",""
10686658652,"","","","I don't know how much I use per week","","","","","",""
10684698263,"","","","","","","","","",""
10667647030,"","","","26-50 mg","","","","","",""
