"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11250357688,"","","","","","","","","",""
11239041530,"","","","I don't know how much I use per week","","","","","",""
11226611149,"","","","","","","","","",""
11183903124,"","","","","","","","","",""
11166893092,"","","","6-25 mg","","","","6-25 mg","",""
11164232720,"","","","1000+ mg","","","","","","201- 500 mg"
11148900374,"","","","","","","","","",""
11141027225,"","","","6-25 mg","","","","","","6-25 mg"
11138930846,"","","","","","","","","",""
11136798812,"","","","6-25 mg","","","","","",""
11135466512,"","","","I don't know how much I use per week","","","","","",""
11135151906,"","","","I don't know how much I use per week","","","","","",""
11134708109,"","","","I don't know how much I use per week","","","","","",""
11134572563,"","","","101-200 mg","","","","None","None","None"
11134536706,"","","","","","","","","",""
11134531419,"","","","I don't know how much I use per week","","","","","",""
11134445906,"","","","6-25 mg","","","","","",""
11062634752,"","","","I don't know how much I use per week","","","","","",""
10932820377,"","","","","","","","","",""
10892190679,"","","","","","","","","",""
10887363314,"","","","","","","","","",""
10875700450,"","","","5 mg","","","","","",""
10875511603,"","","","","","","","","",""
10874749577,"","","","","","","","","",""
10867323115,"","","","","","","","","",""
10864052390,"","","","","","","","","",""
10857725293,"","","","6-25 mg","","","","","",""
10857243738,"","","","None","","","","","",""
10851063447,"","","","51-100 mg","","","","","",""
10849691686,"","","","I don't know how much I use per week","","","","","",""
10847042681,"","","","51-100 mg","","","","","",""
10845744369,"","","","I don't know how much I use per week","","","","","",""
10844298162,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10844069184,"","","","51-100 mg","","","","","",""
10836154511,"","","","6-25 mg","","","","","",""
10832404058,"","","","","","","","","",""
10830786742,"","","","101-200 mg","","","","","","51-100 mg"
10830145897,"","","","","","","","","",""
10762649964,"","","","","","","","","",""
10682649508,"","","","5 mg","","","","","",""
10677653881,"","","","","","","","","",""
10662496256,"","","","","","","","","",""
10618149896,"","","","I don't know how much I use per week","","","","I don't know how much I use per week","I don't know how much I use per week","I don't know how much I use per week"
10570146744,"","","","1000+ mg","","","","","",""
11186271761,"","","","None","","","","","","None"
10965547652,"","","","","","","","","",""
10598727391,"","","","","","","","","",""
10583000127,"","","","6-25 mg","","","","","",""
10868495105,"","","","201- 500 mg","","","","","","201- 500 mg"
11248704898,"","","","","","","","","",""
11241251752,"","","","None","","","","","",""
11238077963,"","","","","","","","","",""
11232533197,"","","","6-25 mg","","","","","",""
11221636373,"","","","I don't know how much I use per week","","","","","",""
11135990132,"","","","1000+ mg","","","","","",""
11135889511,"","","","51-100 mg","","","","","",""
11135727852,"","","","","","","","","",""
11135054998,"","","","I don't know how much I use per week","","","","","",""
11134443636,"","","","","","","","","",""
11111974827,"","","","","","","","","",""
11061509902,"","","","501-1000 mg","","","","","","101-200 mg"
11036310394,"","","","201- 500 mg","","","","","","501-1000 mg"
11014798443,"","","","1000+ mg","","","","","","1000+ mg"
10994464098,"","","","","","","","","",""
10975405385,"","","","","","","","","",""
10894995749,"","","","","","","","","",""
10893828061,"","","","","","","","","",""
10893268968,"","","","","","","","","","101-200 mg"
10886020524,"","","","","","","","","",""
10875507777,"","","","26-50 mg","","","","","",""
10872131442,"","","","101-200 mg","","","","","",""
10870148985,"","","","201- 500 mg","","","","","",""
10865132242,"","","","6-25 mg","","","","","",""
10864944007,"","","","101-200 mg","","","","","",""
10847038072,"","","","","","","","","",""
10843875549,"","","","","","","","","",""
10842054674,"","","","","","","","","",""
10834249218,"","","","","","","","","",""
10833972658,"","","","","","","","","",""
10833790283,"","","","I don't know how much I use per week","","","","","",""
10832732691,"","","","","","","","","",""
10832451640,"","","","","","","","","",""
10832233395,"","","","I don't know how much I use per week","","","","","",""
10832233224,"","","","26-50 mg","","","","","","6-25 mg"
10832200410,"","","","51-100 mg","","","","","",""
10832173617,"","","","I don't know how much I use per week","","","","","",""
10822727213,"","","","None","","","","","",""
10813811475,"","","","I don't know how much I use per week","","","","","",""
10675303210,"","","","501-1000 mg","","","","","",""
10659841121,"","","","","","","","","",""
10596131278,"","","","","","","","","",""
10583372838,"","","","101-200 mg","","","","None","None","51-100 mg"
10577209087,"","","","","","","","","",""
10575471607,"","","","","","","","","",""
10575274340,"","","","201- 500 mg","","","","51-100 mg","",""
10574898510,"","","","","","","","","",""
10569280747,"","","","6-25 mg","","","","","",""
10566297731,"","","","5 mg","","","","6-25 mg","26-50 mg","51-100 mg"
10974652472,"","","","I don't know how much I use per week","","","","I don't know how much I use per week","",""
10581571841,"","","","None","","","","","",""
10580166038,"","","","101-200 mg","","","","","",""
10758288741,"","","","","","","","","",""
10598306507,"","","","6-25 mg","","","","","",""
11250528880,"","","","201- 500 mg","","","","I don't know how much I use per week","",""
11250243595,"","","","I don't know how much I use per week","","","","","",""
11249491628,"","","","","","","","","501-1000 mg",""
11238671751,"","","","","","","","","","201- 500 mg"
11215609540,"","","","None","","","","None","",""
11212618775,"","","","201- 500 mg","","","","","",""
11170108737,"","","","I don't know how much I use per week","","","","","",""
11161813510,"","","","26-50 mg","","","","","",""
11136861481,"","","","","","","","","",""
11136795358,"","","","","","","","","",""
11135778856,"","","","I don't know how much I use per week","","","","","",""
11134932854,"","","","","","","","","",""
11134769709,"","","","","","","","","",""
11131514317,"","","","6-25 mg","","","","","",""
11065588769,"","","","6-25 mg","","","","","",""
11064470565,"","","","","","","","","",""
11034650778,"","","","","","","","","",""
11027692007,"","","","26-50 mg","","","","","",""
10922773382,"","","","6-25 mg","","","","","",""
10893671348,"","","","1000+ mg","","","","51-100 mg","","51-100 mg"
10890414342,"","","","","","","","","",""
10887410730,"","","","","","","","","",""
