"id","response"
11248164514,"Mobile app or website"
11241395977,"Mobile app or website"
11166997346,"Mobile app or website"
11140621270,"Mobile app or website"
11137664485,"Mobile app or website"
11137625236,"Mobile app or website"
11137570486,"Mobile app or website"
11135727852,"Mobile app or website"
11135476295,"Mobile app or website"
11135380294,"Mobile app or website"
11135054557,"Mobile app or website"
11135019994,"Mobile app or website"
11134647286,"Mobile app or website"
11134572563,"Mobile app or website"
11134504342,"Mobile app or website"
11134478610,"Mobile app or website"
11105188699,"Mobile app or website"
11065588769,"Mobile app or website"
11023090140,"Mobile app or website"
10893828061,"Mobile app or website"
10893153651,"Mobile app or website"
10888170961,"Mobile app or website"
10886020524,"Mobile app or website"
10885623844,"Mobile app or website"
10882385979,"Mobile app or website"
10877565497,"Mobile app or website"
10876485783,"Mobile app or website"
10876392009,"Mobile app or website"
10876336346,"Mobile app or website"
10876100377,"Mobile app or website"
10876001530,"Mobile app or website"
10875944995,"Mobile app or website"
10875507777,"Mobile app or website"
10870148985,"Mobile app or website"
10867812743,"Mobile app or website"
10864981709,"Mobile app or website"
10859949104,"Mobile app or website"
10859079118,"Mobile app or website"
10855896441,"Mobile app or website"
10849354793,"Mobile app or website"
10849214021,"Mobile app or website"
10849063157,"Mobile app or website"
10847172551,"Mobile app or website"
10844578211,"Mobile app or website"
10843816117,"Mobile app or website"
10834149798,"Mobile app or website"
10833790283,"Mobile app or website"
10832963325,"Mobile app or website"
10832133946,"Mobile app or website"
10832123166,"Mobile app or website"
10808168894,"Mobile app or website"
10709051382,"Mobile app or website"
10688508584,"Mobile app or website"
10685117930,"Mobile app or website"
10677560387,"Mobile app or website"
10665891738,"Mobile app or website"
10658741910,"Mobile app or website"
10648772348,"Mobile app or website"
10604065323,"Mobile app or website"
10598255910,"Mobile app or website"
10598122285,"Mobile app or website"
10581447651,"Mobile app or website"
10578271769,"Mobile app or website"
10575849400,"Mobile app or website"
10575282159,"Mobile app or website"
10572546454,"Mobile app or website"
10569070427,"Mobile app or website"
11151215837,"Mobile app or website"
10583058257,"Mobile app or website"
10659241585,"Mobile app or website"
10598306507,"Mobile app or website"
11238671751,"Clinician/healthcare provider"
11136795358,"Clinician/healthcare provider"
11135019994,"Clinician/healthcare provider"
11134531419,"Clinician/healthcare provider"
11134504342,"Clinician/healthcare provider"
11134478610,"Clinician/healthcare provider"
11105188699,"Clinician/healthcare provider"
10893671348,"Clinician/healthcare provider"
10893153651,"Clinician/healthcare provider"
10892190679,"Clinician/healthcare provider"
10885759801,"Clinician/healthcare provider"
10885623844,"Clinician/healthcare provider"
10879268147,"Clinician/healthcare provider"
10878422887,"Clinician/healthcare provider"
10876336346,"Clinician/healthcare provider"
10875993925,"Clinician/healthcare provider"
10875700450,"Clinician/healthcare provider"
10864981709,"Clinician/healthcare provider"
10859949104,"Clinician/healthcare provider"
10856437127,"Clinician/healthcare provider"
10849354793,"Clinician/healthcare provider"
10847305299,"Clinician/healthcare provider"
10844578211,"Clinician/healthcare provider"
10844298162,"Clinician/healthcare provider"
10843917537,"Clinician/healthcare provider"
10840899449,"Clinician/healthcare provider"
10834149798,"Clinician/healthcare provider"
10832206360,"Clinician/healthcare provider"
10832123166,"Clinician/healthcare provider"
10808168894,"Clinician/healthcare provider"
10688508584,"Clinician/healthcare provider"
10668312322,"Clinician/healthcare provider"
10658741910,"Clinician/healthcare provider"
10622925288,"Clinician/healthcare provider"
10614375447,"Clinician/healthcare provider"
10605637047,"Clinician/healthcare provider"
10604065323,"Clinician/healthcare provider"
10591451425,"Clinician/healthcare provider"
10581447651,"Clinician/healthcare provider"
10578271769,"Clinician/healthcare provider"
10583058257,"Clinician/healthcare provider"
10758288741,"Clinician/healthcare provider"
10686658652,"Clinician/healthcare provider"
11250357688,"Friend"
11249832802,"Friend"
11241395977,"Friend"
11140621270,"Friend"
11134504342,"Friend"
11134478610,"Friend"
10902224469,"Friend"
10893828061,"Friend"
10893153651,"Friend"
10885623844,"Friend"
10876392009,"Friend"
10876100377,"Friend"
10875479466,"Friend"
10870148985,"Friend"
10867812743,"Friend"
10864981709,"Friend"
10858082192,"Friend"
10849354793,"Friend"
10848742483,"Friend"
10844578211,"Friend"
10843797483,"Friend"
10840899449,"Friend"
10834379529,"Friend"
10834149798,"Friend"
10833790283,"Friend"
10832206360,"Friend"
10832200410,"Friend"
10832191551,"Friend"
10832123166,"Friend"
10685325930,"Friend"
10622925288,"Friend"
10604065323,"Friend"
10575849400,"Friend"
10598306507,"Friend"
10686658652,"Friend"
11248164514,"Cultivator"
11238671751,"Cultivator"
10885623844,"Cultivator"
10876485783,"Cultivator"
10870148985,"Cultivator"
10864981709,"Cultivator"
10844298162,"Cultivator"
10843797483,"Cultivator"
10834149798,"Cultivator"
10832123166,"Cultivator"
10831181023,"Cultivator"
10575878347,"Cultivator"
10575282159,"Cultivator"
10686658652,"Cultivator"
11238671751,"Dispensary agent"
11137625236,"Dispensary agent"
11136861481,"Dispensary agent"
11135054557,"Dispensary agent"
11135019994,"Dispensary agent"
11134531419,"Dispensary agent"
11134478610,"Dispensary agent"
11105188699,"Dispensary agent"
11023090140,"Dispensary agent"
10902224469,"Dispensary agent"
10893153651,"Dispensary agent"
10885623844,"Dispensary agent"
10882385979,"Dispensary agent"
10878422887,"Dispensary agent"
10876485783,"Dispensary agent"
10876336346,"Dispensary agent"
10875993925,"Dispensary agent"
10875944995,"Dispensary agent"
10875700450,"Dispensary agent"
10875503972,"Dispensary agent"
10864981709,"Dispensary agent"
10860704252,"Dispensary agent"
10859079118,"Dispensary agent"
10855896441,"Dispensary agent"
