"id","response"
11250741921,"Dry mouth"
11226611149,"Dry mouth"
11214928564,"Dry mouth"
11211717848,"Dry mouth"
11161813510,"Dry mouth"
11148362084,"Dry mouth"
11135990132,"Dry mouth"
11135570279,"Dry mouth"
11134698105,"Dry mouth"
11134572563,"Dry mouth"
11134478610,"Dry mouth"
11132638848,"Dry mouth"
11105188699,"Dry mouth"
11062634752,"Dry mouth"
11054783496,"Dry mouth"
11030978965,"Dry mouth"
11027692007,"Dry mouth"
11023090140,"Dry mouth"
10922773382,"Dry mouth"
10880715177,"Dry mouth"
10877788133,"Dry mouth"
10877194985,"Dry mouth"
10875696093,"Dry mouth"
10875617011,"Dry mouth"
10875458883,"Dry mouth"
10872131442,"Dry mouth"
10865132242,"Dry mouth"
10860704252,"Dry mouth"
10857725293,"Dry mouth"
10856003172,"Dry mouth"
10850929741,"Dry mouth"
10848742483,"Dry mouth"
10848597634,"Dry mouth"
10848029491,"Dry mouth"
10847009623,"Dry mouth"
10845744369,"Dry mouth"
10844338129,"Dry mouth"
10844213348,"Dry mouth"
10843819934,"Dry mouth"
10840899449,"Dry mouth"
10832233395,"Dry mouth"
10832191551,"Dry mouth"
10831669468,"Dry mouth"
10822875373,"Dry mouth"
10709051382,"Dry mouth"
10688508584,"Dry mouth"
10675303210,"Dry mouth"
10658550964,"Dry mouth"
10648772348,"Dry mouth"
10597419828,"Dry mouth"
10575282159,"Dry mouth"
10575274340,"Dry mouth"
10569704133,"Dry mouth"
10600284760,"Dry mouth"
10667647030,"Dry mouth"
11135990132,"Nausea"
11132638848,"Nausea"
10840899449,"Nausea"
11250741921,"Changes in appetite"
11226611149,"Changes in appetite"
11211717848,"Changes in appetite"
11140569970,"Changes in appetite"
11135990132,"Changes in appetite"
11105188699,"Changes in appetite"
11062634752,"Changes in appetite"
10883497633,"Changes in appetite"
10880715177,"Changes in appetite"
10876100377,"Changes in appetite"
10875530570,"Changes in appetite"
10872131442,"Changes in appetite"
10867812743,"Changes in appetite"
10857725293,"Changes in appetite"
10856003172,"Changes in appetite"
10850929741,"Changes in appetite"
10847172551,"Changes in appetite"
10847009623,"Changes in appetite"
10844213348,"Changes in appetite"
10840899449,"Changes in appetite"
10822875373,"Changes in appetite"
10675303210,"Changes in appetite"
10575282159,"Changes in appetite"
10569704133,"Changes in appetite"
10667647030,"Changes in appetite"
10872131442,"Memory problems"
10848742483,"Memory problems"
10845744369,"Memory problems"
10840899449,"Memory problems"
10598306507,"Memory problems"
11161813510,"Difficulty concentrating"
11062634752,"Difficulty concentrating"
10875617011,"Difficulty concentrating"
10875458883,"Difficulty concentrating"
10867812743,"Difficulty concentrating"
10840899449,"Difficulty concentrating"
10675303210,"Difficulty concentrating"
10575282159,"Difficulty concentrating"
11148362084,"Heart racing/palpitations"
11134572563,"Heart racing/palpitations"
10875458883,"Heart racing/palpitations"
10856003172,"Heart racing/palpitations"
11134478610,"Paranoia"
11062634752,"Paranoia"
10883497633,"Paranoia"
10875617011,"Paranoia"
10848029491,"Paranoia"
10832233224,"Paranoia"
10668597062,"Paranoia"
11239200945,"Feeling of being ""altered"""
11140569970,"Feeling of being ""altered"""
11134799419,"Feeling of being ""altered"""
11062634752,"Feeling of being ""altered"""
10875617011,"Feeling of being ""altered"""
10872131442,"Feeling of being ""altered"""
10831669468,"Feeling of being ""altered"""
10691181667,"Feeling of being ""altered"""
10668597062,"Feeling of being ""altered"""
10598221024,"Feeling of being ""altered"""
10597419828,"Feeling of being ""altered"""
11239200945,"Racing thoughts"
10875617011,"Racing thoughts"
10865132242,"Racing thoughts"
11250741921,"More or less talkative"
11135990132,"More or less talkative"
11135570279,"More or less talkative"
11105188699,"More or less talkative"
10922773382,"More or less talkative"
10883497633,"More or less talkative"
10875944995,"More or less talkative"
10875617011,"More or less talkative"
10872131442,"More or less talkative"
10856003172,"More or less talkative"
10850929741,"More or less talkative"
10848029491,"More or less talkative"
10845744369,"More or less talkative"
10843856498,"More or less talkative"
10832233395,"More or less talkative"
10709051382,"More or less talkative"
10691181667,"More or less talkative"
10688508584,"More or less talkative"
10648772348,"More or less talkative"
10575282159,"More or less talkative"
10686658652,"More or less talkative"
11250741921,"Increased energy"
11236750096,"Increased energy"
11226611149,"Increased energy"
11166390085,"Increased energy"
11148362084,"Increased energy"
11135990132,"Increased energy"
11135570279,"Increased energy"
11105188699,"Increased energy"
10872131442,"Increased energy"
10850929741,"Increased energy"
10848742483,"Increased energy"
10848597634,"Increased energy"
10844213348,"Increased energy"
10843819934,"Increased energy"
10840899449,"Increased energy"
10834663571,"Increased energy"
10832191551,"Increased energy"
10822875373,"Increased energy"
10749222846,"Increased energy"
10709051382,"Increased energy"
10688508584,"Increased energy"
10675303210,"Increased energy"
10668597062,"Increased energy"
10648772348,"Increased energy"
10569704133,"Increased energy"
10667647030,"Increased energy"
11250741921,"Sleepiness/fatigue"
11226611149,"Sleepiness/fatigue"
11211717848,"Sleepiness/fatigue"
11161813510,"Sleepiness/fatigue"
11135849827,"Sleepiness/fatigue"
11135570279,"Sleepiness/fatigue"
11134572563,"Sleepiness/fatigue"
11062634752,"Sleepiness/fatigue"
11054783496,"Sleepiness/fatigue"
11027692007,"Sleepiness/fatigue"
10893948558,"Sleepiness/fatigue"
10883497633,"Sleepiness/fatigue"
10876100377,"Sleepiness/fatigue"
10875617011,"Sleepiness/fatigue"
10875507777,"Sleepiness/fatigue"
10872131442,"Sleepiness/fatigue"
10867812743,"Sleepiness/fatigue"
10856003172,"Sleepiness/fatigue"
10848597634,"Sleepiness/fatigue"
10847172551,"Sleepiness/fatigue"
10845744369,"Sleepiness/fatigue"
10833722328,"Sleepiness/fatigue"
10832128566,"Sleepiness/fatigue"
10822875373,"Sleepiness/fatigue"
10691181667,"Sleepiness/fatigue"
10681003613,"Sleepiness/fatigue"
10668597062,"Sleepiness/fatigue"
10597419828,"Sleepiness/fatigue"
10575274340,"Sleepiness/fatigue"
10877565497,"Apathy"
10872131442,"Apathy"
10876100377,"Dizziness"
10865132242,"Dizziness"
10598221024,"Dizziness"
11250741921,"Changes in libido"
11226611149,"Changes in libido"
11215559561,"Changes in libido"
11105188699,"Changes in libido"
10876100377,"Changes in libido"
10872131442,"Changes in libido"
10865132242,"Changes in libido"
10575282159,"Changes in libido"
10686658652,"Changes in libido"
10875617011,"Sweating"
10867615622,"Sweating"
10877565497,"Headache"
10876100377,"Headache"
11137652132,"Increased respiratory symptoms (coughing, wheezing, sneezing)"
10848742483,"Increased respiratory symptoms (coughing, wheezing, sneezing)"
10597419828,"Increased respiratory symptoms (coughing, wheezing, sneezing)"
11250741921,"Tough to get started in the morning (lassitude) or ""couch lock"""
11135990132,"Tough to get started in the morning (lassitude) or ""couch lock"""
11062634752,"Tough to get started in the morning (lassitude) or ""couch lock"""
10877565497,"Tough to get started in the morning (lassitude) or ""couch lock"""
10872131442,"Tough to get started in the morning (lassitude) or ""couch lock"""
10860704252,"Tough to get started in the morning (lassitude) or ""couch lock"""
10832233224,"Tough to get started in the morning (lassitude) or ""couch lock"""
10575282159,"Tough to get started in the morning (lassitude) or ""couch lock"""
11134799419,"Other (please specify)"
10877194985,"Other (please specify)"
10867615622,"Other (please specify)"
10860704252,"Other (please specify)"
10834663571,"Other (please specify)"
10833722328,"Other (please specify)"
10832128566,"Other (please specify)"
10749222846,"Other (please specify)"
10658550964,"Other (please specify)"
