"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules"
11241395977,"","","","","","","","","",""
11238774708,"","","","26-50 mg","","","","","",""
11208627585,"","","","1000+ mg","","","","1000+ mg","1000+ mg","1000+ mg"
11179999382,"","","","None","","","","","",""
11135136344,"","","","","","","","51-100 mg","",""
11134549629,"","","","6-25 mg","","","","","",""
11134504342,"","","","","","","","","",""
11091792560,"","","","101-200 mg","","","","","",""
11064470565,"","","","","","","","","",""
11064342543,"","","","","","","","","",""
11050438627,"","","","","","","","","",""
11033502369,"","","","I don't know how much I use per week","","","","","",""
10972364151,"","","","","","","","","201- 500 mg",""
10952093942,"","","","26-50 mg","","","","","",""
10900800324,"","","","51-100 mg","","","","","",""
10893268968,"","","","","","","","","","101-200 mg"
10886504576,"","","","None","","","","","",""
10886020524,"","","","","","","","","",""
10884768912,"","","","26-50 mg","","","","","",""
10878422887,"","","","6-25 mg","","","","","",""
10878214093,"","","","","","","","","",""
10876485783,"","","","","","","","","",""
10876001530,"","","","51-100 mg","","","","","",""
10875529110,"","","","I don't know how much I use per week","","","","","",""
10875462742,"","","","501-1000 mg","","","","","",""
10875460020,"","","","","","","","","",""
10872649413,"","","","","","","","","",""
10870148985,"","","","201- 500 mg","","","","","",""
10863841131,"","","","None","","","","","",""
10860535252,"","","","6-25 mg","","","","","",""
10859616580,"","","","","","","","","",""
10855896441,"","","","","","","","","",""
10851063447,"","","","51-100 mg","","","","","",""
10849063157,"","","","","","","","","",""
10847312529,"","","","I don't know how much I use per week","","","","","",""
10847151018,"","","","51-100 mg","","","","6-25 mg","",""
10847076490,"","","","5 mg","","","","","",""
10847049077,"","","","I don't know how much I use per week","","","","","",""
10844578211,"","","","I don't know how much I use per week","","","","","",""
10844298162,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10844291789,"","","","51-100 mg","","","","","",""
10843799997,"","","","6-25 mg","","","","","",""
10843000999,"","","","","","","","","",""
10842274754,"","","","I don't know how much I use per week","","","","","",""
10835384840,"","","","","","","","","","I don't know how much I use per week"
10834416742,"","","","201- 500 mg","","","","","",""
10834379529,"","","","","","","","","",""
10834332090,"","","","","","","","","",""
10833532176,"","","","","","","","","","I don't know how much I use per week"
10832733276,"","","","","","","","","",""
10832343863,"","","","","","","","","",""
10832133946,"","","","I don't know how much I use per week","","","","","",""
10831893906,"","","","6-25 mg","","","","","",""
10831792008,"","","","6-25 mg","","","","","",""
10831397885,"","","","","","","","","",""
10830896942,"","","","","","","","","",""
10830786742,"","","","101-200 mg","","","","","","51-100 mg"
10808168894,"","","","","","","","","",""
10763284450,"","","","26-50 mg","","","","","",""
10677560387,"","","","","","","","","",""
10675097210,"","","","26-50 mg","","","","","",""
10671862630,"","","","51-100 mg","","","","","",""
10670361680,"","","","","","","","","",""
10669140575,"","","","","","","","","",""
10668361624,"","","","","","","","","",""
10668312322,"","","","","","","","","",""
10667907917,"","","","26-50 mg","","","","","",""
10667582585,"","","","","","","","","",""
10667425695,"","","","","","","","","",""
10659841121,"","","","","","","","","",""
10658580372,"","","","101-200 mg","","","","","",""
10624147163,"","","","51-100 mg","","","","","","51-100 mg"
10622502829,"","","","26-50 mg","","","","","",""
10598255910,"","","","26-50 mg","","","","","",""
10583893598,"","","","","","","","","",""
10581933788,"","","","201- 500 mg","","","","","","26-50 mg"
10581447651,"","","","I don't know how much I use per week","","","","","","I don't know how much I use per week"
10579927077,"","","","","","","","","",""
10575849400,"","","","201- 500 mg","","","","","",""
11212805644,"","","","","","","","","",""
10956719648,"","","","","","","","","",""
10583058257,"","","","I don't know how much I use per week","","","","","",""
10583000127,"","","","6-25 mg","","","","","",""
10581571841,"","","","None","","","","","",""
10767176517,"","","","","","","","","",""
10671009796,"","","","51-100 mg","","","","","",""
10647255505,"","","","I don't know how much I use per week","","","","","",""
