"id","response"
11208627585,"Agent Orange"
10893268968,"Agent Orange"
10878422887,"Agent Orange"
10876485783,"Agent Orange"
10855896441,"Agent Orange"
10834379529,"Agent Orange"
10677560387,"Agent Orange"
10598255910,"Agent Orange"
10583893598,"Agent Orange"
10581447651,"Agent Orange"
11212805644,"Agent Orange"
10956719648,"Agent Orange"
10767176517,"Agent Orange"
11238774708,"Asbestos"
11208627585,"Asbestos"
11064342543,"Asbestos"
10878422887,"Asbestos"
10849063157,"Asbestos"
10835384840,"Asbestos"
10833532176,"Asbestos"
10830896942,"Asbestos"
10830786742,"Asbestos"
10667582585,"Asbestos"
10658580372,"Asbestos"
10575849400,"Asbestos"
11212805644,"Asbestos"
10956719648,"Asbestos"
11208627585,"Children having birth defects like Spina Bifida"
10831792008,"Children having birth defects like Spina Bifida"
11208627585,"Contact with mustard gas or lewisite"
11179999382,"Contact with mustard gas or lewisite"
11208627585,"contaminated drinking water at camp Lejelune"
11179999382,"contaminated drinking water at camp Lejelune"
10677560387,"contaminated drinking water at camp Lejelune"
10583893598,"contaminated drinking water at camp Lejelune"
10579927077,"contaminated drinking water at camp Lejelune"
10767176517,"contaminated drinking water at camp Lejelune"
11241395977,"Gulf war illness"
11208627585,"Gulf war illness"
11179999382,"Gulf war illness"
10886504576,"Gulf war illness"
10875462742,"Gulf war illness"
10870148985,"Gulf war illness"
10847151018,"Gulf war illness"
10844578211,"Gulf war illness"
10844291789,"Gulf war illness"
10835384840,"Gulf war illness"
10834332090,"Gulf war illness"
10832133946,"Gulf war illness"
11208627585,"Gulf war illness in Afghanistan"
11179999382,"Gulf war illness in Afghanistan"
11050438627,"Gulf war illness in Afghanistan"
11208627585,"Radiation Exposure"
11179999382,"Radiation Exposure"
10844291789,"Radiation Exposure"
10658580372,"Radiation Exposure"
10583058257,"Radiation Exposure"
11238774708,"Specific Environmental Hazards"
11208627585,"Specific Environmental Hazards"
11064470565,"Specific Environmental Hazards"
10886504576,"Specific Environmental Hazards"
10847312529,"Specific Environmental Hazards"
10835384840,"Specific Environmental Hazards"
10830786742,"Specific Environmental Hazards"
10671862630,"Specific Environmental Hazards"
10624147163,"Specific Environmental Hazards"
10583058257,"Specific Environmental Hazards"
10583000127,"Specific Environmental Hazards"
11241395977,"Burn Pits"
11208627585,"Burn Pits"
11134504342,"Burn Pits"
11064470565,"Burn Pits"
11064342543,"Burn Pits"
11050438627,"Burn Pits"
11033502369,"Burn Pits"
10952093942,"Burn Pits"
10886504576,"Burn Pits"
10884768912,"Burn Pits"
10875462742,"Burn Pits"
10875460020,"Burn Pits"
10870148985,"Burn Pits"
10859616580,"Burn Pits"
10847312529,"Burn Pits"
10847151018,"Burn Pits"
10844578211,"Burn Pits"
10844291789,"Burn Pits"
10843799997,"Burn Pits"
10834416742,"Burn Pits"
10834332090,"Burn Pits"
10831792008,"Burn Pits"
10763284450,"Burn Pits"
10671862630,"Burn Pits"
10624147163,"Burn Pits"
10622502829,"Burn Pits"
10583893598,"Burn Pits"
10581933788,"Burn Pits"
10583058257,"Burn Pits"
10583000127,"Burn Pits"
10647255505,"Burn Pits"
11135136344,"I was not exposed to any of these"
11134549629,"I was not exposed to any of these"
11091792560,"I was not exposed to any of these"
10972364151,"I was not exposed to any of these"
10886020524,"I was not exposed to any of these"
10878214093,"I was not exposed to any of these"
10876001530,"I was not exposed to any of these"
10872649413,"I was not exposed to any of these"
10860535252,"I was not exposed to any of these"
10851063447,"I was not exposed to any of these"
10847076490,"I was not exposed to any of these"
10847049077,"I was not exposed to any of these"
10844298162,"I was not exposed to any of these"
10843000999,"I was not exposed to any of these"
10842274754,"I was not exposed to any of these"
10833532176,"I was not exposed to any of these"
10832733276,"I was not exposed to any of these"
10832343863,"I was not exposed to any of these"
10831893906,"I was not exposed to any of these"
10831397885,"I was not exposed to any of these"
10808168894,"I was not exposed to any of these"
10675097210,"I was not exposed to any of these"
10670361680,"I was not exposed to any of these"
10669140575,"I was not exposed to any of these"
10668361624,"I was not exposed to any of these"
10668312322,"I was not exposed to any of these"
10667907917,"I was not exposed to any of these"
10667425695,"I was not exposed to any of these"
10659841121,"I was not exposed to any of these"
10581571841,"I was not exposed to any of these"
10671009796,"I was not exposed to any of these"
10900800324,"Other (please specify)"
10875529110,"Other (please specify)"
10863841131,"Other (please specify)"
10832133946,"Other (please specify)"
10830786742,"Other (please specify)"
